Company Name,Employee Name,Email Address,Salary
Wayne Enterprises,Helena Bertinelli,helena@wayneenterprises.com,59000
Umbrella Corporation,Albert Wesker,wesker@umbrella.com,95000
Umbrella Corporation,Ada Wong,ada@umbrella.com,78000
Umbrella Corporation,William Birkin,birkin@umbrella.com,88000
Umbrella Corporation,Annette Birkin,annette@umbrella.com,82000
Umbrella Corporation,Alexia Ashford,alexia@umbrella.com,92000
Umbrella Corporation,Alfred Ashford,alfred@umbrella.com,85000
Umbrella Corporation,Oswell Spencer,spencer@umbrella.com,120000
Umbrella Corporation,James Marcus,marcus@umbrella.com,90000
Umbrella Corporation,Sergei Vladimir,sergei@umbrella.com,75000
Umbrella Corporation,Nicholai Ginovaef,nicholai@umbrella.com,68000
Umbrella Corporation,HUNK Operative,hunk@umbrella.com,80000
Umbrella Corporation,Carlos Oliveira,carlos@umbrella.com,65000
Umbrella Corporation,Mikhail Victor,mikhail@umbrella.com,70000
Umbrella Corporation,Tyrell Patrick,tyrell@umbrella.com,72000
Umbrella Corporation,Murphy Seeker,murphy@umbrella.com,66000
Cyberdyne Systems,Miles Dyson,miles@cyberdyne.com,95000
Cyberdyne Systems,Sarah Connor,sarah@cyberdyne.com,75000
Cyberdyne Systems,Kyle Reese,kyle@cyberdyne.com,68000
Cyberdyne Systems,John Connor,john@cyberdyne.com,85000
Cyberdyne Systems,Kate Brewster,kate@cyberdyne.com,78000
Cyberdyne Systems,Robert Brewster,robert@cyberdyne.com,92000
Cyberdyne Systems,Danny Dyson,danny@cyberdyne.com,55000
Cyberdyne Systems,Tarissa Dyson,tarissa@cyberdyne.com,58000
Cyberdyne Systems,Peter Silberman,peter@cyberdyne.com,72000
Cyberdyne Systems,Douglas Reese,douglas@cyberdyne.com,65000
Cyberdyne Systems,Marcus Wright,marcus@cyberdyne.com,80000
Cyberdyne Systems,Blair Williams,blair@cyberdyne.com,70000
Cyberdyne Systems,Star Command,star@cyberdyne.com,62000
Cyberdyne Systems,Grace Harper,grace@cyberdyne.com,74000
Cyberdyne Systems,Carl Terminator,carl@cyberdyne.com,88000
Oscorp Industries,Norman Osborn,norman@oscorp.com,110000
Oscorp Industries,Harry Osborn,harry@oscorp.com,85000
Oscorp Industries,Gwen Stacy,gwen@oscorp.com,65000
Oscorp Industries,Curt Connors,curt@oscorp.com,78000
Oscorp Industries,Max Dillon,max@oscorp.com,58000
Oscorp Industries,Felicia Hardy,felicia@oscorp.com,62000
Oscorp Industries,Eddie Brock,eddie@oscorp.com,68000
Oscorp Industries,Flint Marko,flint@oscorp.com,55000
Oscorp Industries,Adrian Toomes,adrian@oscorp.com,72000
Oscorp Industries,Mac Gargan,mac@oscorp.com,60000
Oscorp Industries,Aleksei Sytsevich,aleksei@oscorp.com,54000
Oscorp Industries,Herman Schultz,herman@oscorp.com,56000
Oscorp Industries,Quentin Beck,quentin@oscorp.com,75000
Oscorp Industries,Dmitri Smerdyakov,dmitri@oscorp.com,58000
Oscorp Industries,Roderick Kingsley,roderick@oscorp.com,82000
LexCorp,Lex Luthor,lex@lexcorp.com,150000
LexCorp,Mercy Graves,mercy@lexcorp.com,75000
LexCorp,Hope Taya,hope@lexcorp.com,68000
LexCorp,Otis Berg,otis@lexcorp.com,55000
LexCorp,Eve Teschmacher,eve@lexcorp.com,62000
LexCorp,Lena Luthor,lena@lexcorp.com,95000
LexCorp,Lionel Luthor,lionel@lexcorp.com,120000
LexCorp,Tess Mercer,tess@lexcorp.com,85000
LexCorp,Emil Hamilton,emil@lexcorp.com,78000
LexCorp,John Corben,john@lexcorp.com,65000
LexCorp,Rudy Jones,rudy@lexcorp.com,58000
LexCorp,Leslie Willis,leslie@lexcorp.com,60000
LexCorp,Pamela Isley,pamela@lexcorp.com,72000
LexCorp,Victor Fries,victor@lexcorp.com,80000
LexCorp,Jonathan Crane,jonathan@lexcorp.com,74000
